nominee_label,directing_nom,above_line_noms,previous_cinematography_wins,runtime,num_wikidata_awards,log_budget,imdb_rating,metacritic_score
Adolpho Veloso (Train Dreams),-0.21748187269329392,0.2059687163434979,-0.0606534308017578,-0.17176153268127164,-0.09524999786111876,-0.03481268195311109,-0.07389494512105076,0.010114017092587625
Autumn Durald Arkapaw (Sinners),0.17087861425901663,-0.17022985232042517,-0.0606534308017578,0.0331909093646607,-0.08620441401865735,-0.12315003475468936,-0.07389494512105076,0.005521954848506977
Dan Laustsen (Frankenstein),-0.21748187269329392,0.11191907417751712,-0.0606534308017578,0.10150839004663816,-0.08620441401865735,-0.13471602294437982,-0.07389494512105076,-0.0013661385176139925
Darius Khondji (Marty Supreme),0.17087861425901663,-0.17022985232042517,-0.0606534308017578,0.10150839004663816,-0.09524999786111876,-0.1100667320833569,0.26455518520437227,0.011262032653607786
Michael Bauman (One Battle After Another),0.17087861425901663,-0.3583291366523867,-0.0606534308017578,0.1698258707286156,-0.059067662491273085,-0.1498847840565119,0.03892176498742376,0.018150126019728756
