nominee_label,bafta_film_editing_nominee,bafta_film_editing_winner,other_noms,acting_noms,nominee_previous_noms_sum,nominee_previous_noms_max,english_language,dga_winner
F1,0.10445368891246887,-0.01668853473486755,-0.07750854178965767,0.009778288478005924,0.01600444887764073,-0.0008655531799133337,0.007144686743678524,-0.06779484246984877
Marty Supreme,0.10445368891246887,-0.01668853473486755,0.09627742634858823,0.0015612393368244755,-0.002848959486072171,0.0001370180709515315,0.007144686743678524,-0.06779484246984877
One Battle After Another,0.10445368891246887,0.26145371084625846,0.2005490072315358,-0.014872858945538426,-0.0007541363345485156,2.5621265299879813e-05,0.007144686743678524,0.416454032314785
Sentimental Value,-0.034817896304156284,-0.01668853473486755,0.06152023272093905,-0.014872858945538426,-0.002848959486072171,0.0001370180709515315,-0.1357490481298922,-0.06779484246984877
Sinners,0.10445368891246887,-0.01668853473486755,0.3395777817421325,-0.014872858945538426,-0.002848959486072171,0.0001370180709515315,0.007144686743678524,-0.06779484246984877
