nominee_label,bafta_original_screenplay_nominee,bafta_original_screenplay_winner,golden_globes_original_screenplay_nominee,golden_globes_original_screenplay_winner,writing_noms,sundance_grand_jury,cannes_grand_prix,rated_G,editing_nom,genre_war,genre_animation,nominee_previous_noms_max,nominee_previous_noms_avg,directing_nom,runtime
Blue Moon,-0.013375491866718412,-0.008817957145414487,-0.027776215514116475,-0.018402722844243036,-0.01046919033631385,-2.316718388038713e-18,0.0025611293647616476,0.004632331250129803,-0.04504693516907291,0.01650224716522456,0.004631488237745742,0.012970691617892395,0.009840433061290524,-0.060324939145200394,0.00750712324421884
It Was Just an Accident,-0.013375491866718412,-0.008817957145414487,0.1573985545799935,-0.018402722844243036,-0.01046919033631385,-2.316718388038713e-18,0.0025611293647616476,0.004632331250129803,-0.04504693516907291,0.01650224716522456,0.004631488237745742,0.012970691617892395,0.009840433061290524,-0.060324939145200394,0.005515843869094478
Marty Supreme,0.057021833747589026,-0.008817957145414487,0.1573985545799935,-0.018402722844243036,-0.01046919033631385,-2.316718388038713e-18,0.0025611293647616476,0.004632331250129803,0.19204219729973182,0.01650224716522456,0.004631488237745742,0.012970691617892395,0.009840433061290524,0.2412997565808017,-0.025680866341187172
Sentimental Value,0.057021833747589026,-0.008817957145414487,0.1573985545799935,-0.018402722844243036,-0.01046919033631385,-2.316718388038713e-18,-0.2535518071114033,0.004632331250129803,0.19204219729973182,0.01650224716522456,0.004631488237745742,0.006734782186213358,0.005366863405775277,0.2412997565808017,-0.014396949882149127
Sinners,0.057021833747589026,0.2851139477017344,0.1573985545799935,-0.018402722844243036,-0.01046919033631385,-2.316718388038713e-18,0.0025611293647616476,0.004632331250129803,0.19204219729973182,0.01650224716522456,0.004631488237745742,0.0004988727545343203,-0.002089086020083467,0.2412997565808017,-0.01771574884068973
