nominee_label,golden_globes_supporting_actress_winner,bafta_supporting_actress_winner,oscars_supporting_actress_nominee,log_revenue,budget_revenue_ratio,num_wikidata_awards,previous_supporting_actress_wins,acting_noms
Amy Madigan (Weapons),-0.37670709875616876,-0.18475421819881713,0.28710464046538875,0.6251408353157705,-0.021708474199102972,-0.2885721549385957,0.13532156983675067,0.3928010389336918
Ariana Grande (Wicked: For Good),-0.37670709875616876,-0.18475421819881713,-0.7762458797767919,0.7636229197686669,0.03655227458643743,-0.2885721549385957,0.13532156983675067,0.3928010389336918
Odessa A'zion (Marty Supreme),-0.37670709875616876,-0.18475421819881713,-0.7762458797767919,0.5022993212363676,0.0562046493467589,-0.2885721549385957,0.13532156983675067,-0.05869440811652867
Teyana Taylor (One Battle After Another),2.314057892359322,-0.18475421819881713,0.28710464046538875,0.5700641523520001,0.07425860245035587,-0.12780772321792958,0.13532156983675067,-0.9616853022169697
Wunmi Mosaku (Sinners),-0.37670709875616876,1.046940569793297,0.28710464046538875,0.6902883420602507,0.026871320591955173,-0.2483810470084292,0.13532156983675067,-0.5101898551667491
