nominee_label,bafta_visual_effects_nominee,bafta_visual_effects_winner,bafta_winner,acting_noms,cinematography_nom,technical_noms,rotten_tomatoes_pct,metacritic_score,budget_revenue_ratio,rated_PG,rated_G,genre_adventure,genre_crime,genre_war
F1,0.0,-0.07579297308785614,0.16791746924996326,-0.007996086308637743,-0.0784690948202357,-0.04331043606384441,0.013122188376490552,-0.004129348484067168,-0.025358234887263072,0.009532777633709801,-0.012354263163861057,0.04663336217381927,0.008501805368018804,0.010347257184699586
Fire and Ash,0.0,0.3231174115850709,0.16791746924996326,-0.007996086308637743,-0.0784690948202357,-0.04331043606384441,-0.03089353783395993,-0.03219288187093143,-0.009918873285829364,0.009532777633709801,-0.012354263163861057,-0.028581738106534384,0.008501805368018804,0.010347257184699586
Jurassic World Rebirth,-0.0,-0.07579297308785614,-0.07196462967855566,-0.007996086308637743,-0.0784690948202357,-0.13354051119685356,-0.07490926404441042,-0.07629272005028954,-0.00293811798210959,0.009532777633709801,-0.012354263163861057,-0.028581738106534384,0.008501805368018804,0.010347257184699586
Sinners,-0.0,-0.07579297308785614,0.16791746924996326,0.1519256398641171,0.26270088265905,0.2273797893351831,0.054386931698787874,0.06001587068590828,-0.010099950387223956,0.009532777633709801,-0.012354263163861057,0.04663336217381927,0.008501805368018804,0.010347257184699586
The Lost Bus,0.0,-0.07579297308785614,-0.07196462967855566,-0.007996086308637743,-0.0784690948202357,-0.13354051119685356,0.026877102817256325,-0.02016565327656103,-0.01156955320780884,0.009532777633709801,-0.012354263163861057,0.04663336217381927,0.008501805368018804,0.010347257184699586
