nominee_label,bafta_sound_nominee,bafta_sound_winner,imdb_rating,country_france,editing_nom,other_noms,english_language
F1,0.18210206475510182,0.42593612003338793,0.06207089516036677,-0.0036199975148892834,0.15749485104748925,-0.028630865940759,-1.6999144604781172e-17
Frankenstein,0.18210206475510182,-0.017747338334724493,0.037439587557046614,-0.0036199975148892834,-0.09652910225491276,0.11310609416200831,-1.6999144604781172e-17
One Battle After Another,0.18210206475510182,-0.017747338334724493,0.06207089516036677,-0.0036199975148892834,0.15749485104748925,0.1981482702236687,-1.6999144604781172e-17
Sinners,0.18210206475510182,-0.017747338334724493,0.037439587557046614,-0.0036199975148892834,0.15749485104748925,0.3115378383058826,-1.6999144604781172e-17
Sirāt,-0.05439412323853691,-0.017747338334724493,0.012808279953726453,0.3583797539740399,-0.09652910225491276,-0.08532564998186593,-0.27067605761874847
