year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2023,Poor Things,False,0.3752,4,Oppenheimer,Oppenheimer,1,True
2023,American Fiction,False,0.3722,5,Oppenheimer,Oppenheimer,1,True
2023,Past Lives,False,0.3702,6,Oppenheimer,Oppenheimer,1,True
2023,The Holdovers,False,0.3683,7,Oppenheimer,Oppenheimer,1,True
2023,Killers of the Flower Moon,False,0.3657,8,Oppenheimer,Oppenheimer,1,True
2023,Barbie,False,0.3547,9,Oppenheimer,Oppenheimer,1,True
2023,Maestro,False,0.2878,10,Oppenheimer,Oppenheimer,1,True
2024,Anora,True,0.7437,1,Anora,Anora,1,True
2024,The Brutalist,False,0.4292,2,Anora,Anora,1,True
2024,A Complete Unknown,False,0.4254,3,Anora,Anora,1,True
2024,Emilia Pérez,False,0.4235,4,Anora,Anora,1,True
2024,Conclave,False,0.3692,5,Anora,Anora,1,True
2024,I'm Still Here,False,0.3692,6,Anora,Anora,1,True
2024,Wicked,False,0.3576,7,Anora,Anora,1,True
2024,Nickel Boys,False,0.3514,8,Anora,Anora,1,True
2024,The Substance,False,0.35,9,Anora,Anora,1,True
2024,Dune: Part Two,False,0.3216,10,Anora,Anora,1,True
