nominee_label,golden_globes_actress_winner,bafta_actress_winner,oscars_actress_nominee,imdb_rating,rotten_tomatoes_pct,log_revenue,budget_revenue_ratio,num_wikidata_awards
Chase Infiniti (One Battle After Another),-0.5030478840992535,0.038271257376762055,-2.0040735730981165,0.45205655292391467,0.06521215278292825,0.08963215311894304,-0.21967116149864707,-0.037353153166189916
Emma Stone (Bugonia),-0.5030478840992535,0.038271257376762055,0.7793619450937117,0.1808226211695661,0.028806205660567748,0.04625669942174758,-0.2383146145215075,-0.0883472189220806
Jessie Buckley (Hamnet),1.2935517019695089,-0.21687045846831832,0.7793619450937117,0.8137017952630459,0.028806205660567748,0.06091929979183057,-0.17667542386957763,-0.06285018604413525
Kate Hudson (Song Sung Blue),-0.5030478840992535,0.038271257376762055,0.7793619450937117,0.09041131058478273,-0.0030489980714976926,0.054242896783057604,-0.18608990586444593,-0.0883472189220806
Rose Byrne (If I Had Legs I'd Kick You),1.2935517019695089,0.038271257376762055,0.7793619450937117,-0.4520565529239143,0.05155992261204306,-0.045024657770025414,-0.23410607530681468,-0.0883472189220806
