nominee_label,oscars_supporting_actor_nominee,golden_globes_supporting_actor_winner,dga_winner,pga_winner,bafta_supporting_actor_winner,previous_supporting_actor_wins,other_noms,above_line_noms,acting_noms,previous_supporting_actor_nominations,previous_all_wins
Benicio del Toro (One Battle After Another),0.41424917852315885,-0.17634156804684378,0.3004276170343732,0.07634917659597702,-0.07574921209012683,0.0056160051275159426,0.7057598596506808,-0.43411256923782354,-0.43411256923782354,-0.3494290990317791,-0.3266923051249398
Jacob Elordi (Frankenstein),0.41424917852315885,-0.17634156804684378,-0.03338084633715259,-0.009436415084896038,-0.07574921209012683,0.0056160051275159426,-0.04772041755645171,0.13960448261833094,0.13960448261833094,0.11034603127319344,0.06691288177257804
Miles Caton (Sinners),-0.7693199029715806,-0.17634156804684378,-0.03338084633715259,-0.009436415084896038,-0.07574921209012683,0.0056160051275159426,0.45459976724830325,-0.24287355195243873,-0.24287355195243873,0.11034603127319344,0.06691288177257804
Paul Mescal (Hamnet),-0.7693199029715806,-0.17634156804684378,-0.03338084633715259,-0.009436415084896038,-0.07574921209012683,0.0056160051275159426,0.2034396748459258,-0.051634534667053894,-0.051634534667053894,0.11034603127319344,0.06691288177257804
Sean Penn (One Battle After Another),0.41424917852315885,-0.17634156804684378,0.3004276170343732,0.07634917659597702,0.6817429088111417,0.0056160051275159426,0.7057598596506808,-0.43411256923782354,-0.43411256923782354,0.11034603127319344,-0.12988971167618088
